,frame,dominant_emotion,emotion_scores
0,1,neutral,"{'angry': np.float32(2.9642262), 'disgust': np.float32(0.0015219535), 'fear': np.float32(26.22362), 'happy': np.float32(0.42385224), 'sad': np.float32(20.373972), 'surprise': np.float32(0.029234828), 'neutral': np.float32(49.983578)}"
1,2,neutral,"{'angry': np.float32(1.1983079), 'disgust': np.float32(0.00021333249), 'fear': np.float32(2.7444286), 'happy': np.float32(0.29319307), 'sad': np.float32(8.0367), 'surprise': np.float32(0.0059226), 'neutral': np.float32(87.72124)}"
2,3,neutral,"{'angry': np.float32(1.3756163), 'disgust': np.float32(0.00030060194), 'fear': np.float32(6.044191), 'happy': np.float32(0.63812405), 'sad': np.float32(8.398345), 'surprise': np.float32(0.020053513), 'neutral': np.float32(83.52337)}"
3,4,neutral,"{'angry': np.float32(1.7754828), 'disgust': np.float32(0.00017862361), 'fear': np.float32(2.369591), 'happy': np.float32(0.35064292), 'sad': np.float32(11.983631), 'surprise': np.float32(0.0066809254), 'neutral': np.float32(83.5138)}"
4,5,neutral,"{'angry': np.float32(3.0214727), 'disgust': np.float32(0.003097346), 'fear': np.float32(8.820983), 'happy': np.float32(1.1160923), 'sad': np.float32(20.605333), 'surprise': np.float32(0.016222216), 'neutral': np.float32(66.4168)}"
5,6,neutral,"{'angry': np.float32(2.808606), 'disgust': np.float32(0.0008962041), 'fear': np.float32(7.3308544), 'happy': np.float32(0.38873953), 'sad': np.float32(21.5795), 'surprise': np.float32(0.012060053), 'neutral': np.float32(67.87934)}"
6,7,neutral,"{'angry': np.float32(1.7777865), 'disgust': np.float32(0.00014962757), 'fear': np.float32(5.8837814), 'happy': np.float32(0.12650397), 'sad': np.float32(25.71744), 'surprise': np.float32(0.002960385), 'neutral': np.float32(66.49139)}"
7,8,happy,"{'angry': np.float32(0.00013713763), 'disgust': np.float32(3.9782132e-11), 'fear': np.float32(0.00010489947), 'happy': np.float32(94.08807), 'sad': np.float32(0.001409366), 'surprise': np.float32(0.007682343), 'neutral': np.float32(5.902594)}"
8,9,neutral,"{'angry': np.float32(1.6407341), 'disgust': np.float32(0.0006086155), 'fear': np.float32(7.698759), 'happy': np.float32(0.4647039), 'sad': np.float32(18.846603), 'surprise': np.float32(0.0055546006), 'neutral': np.float32(71.34303)}"
9,10,happy,"{'angry': np.float32(0.99734336), 'disgust': np.float32(1.3027885e-05), 'fear': np.float32(15.74323), 'happy': np.float32(72.33233), 'sad': np.float32(0.0063103093), 'surprise': np.float32(10.829767), 'neutral': np.float32(0.09100488)}"
10,11,neutral,"{'angry': np.float32(0.22300833), 'disgust': np.float32(4.7413696e-06), 'fear': np.float32(5.1302567), 'happy': np.float32(1.1014023), 'sad': np.float32(3.365029), 'surprise': np.float32(0.016310249), 'neutral': np.float32(90.163994)}"
11,12,neutral,"{'angry': np.float32(0.46581572), 'disgust': np.float32(3.4437388e-05), 'fear': np.float32(4.162752), 'happy': np.float32(0.7566078), 'sad': np.float32(3.198918), 'surprise': np.float32(0.0137555655), 'neutral': np.float32(91.40212)}"
12,13,neutral,"{'angry': np.float32(1.9668677), 'disgust': np.float32(0.0062907366), 'fear': np.float32(19.07497), 'happy': np.float32(4.995758), 'sad': np.float32(2.7810287), 'surprise': np.float32(0.16730703), 'neutral': np.float32(71.007774)}"
13,14,neutral,"{'angry': np.float32(0.9038134), 'disgust': np.float32(0.00048840814), 'fear': np.float32(30.137365), 'happy': np.float32(6.14276), 'sad': np.float32(3.8452735), 'surprise': np.float32(0.049010914), 'neutral': np.float32(58.921288)}"
14,15,neutral,"{'angry': np.float32(0.113370806), 'disgust': np.float32(9.984553e-07), 'fear': np.float32(1.1489902), 'happy': np.float32(1.0804923), 'sad': np.float32(1.7727072), 'surprise': np.float32(0.026213937), 'neutral': np.float32(95.85822)}"
15,16,happy,"{'angry': np.float32(0.26815698), 'disgust': np.float32(1.01104486e-10), 'fear': np.float32(1.0390869), 'happy': np.float32(98.60378), 'sad': np.float32(9.126792e-06), 'surprise': np.float32(0.08893079), 'neutral': np.float32(3.5825888e-05)}"
16,17,neutral,"{'angry': np.float32(0.024606459), 'disgust': np.float32(1.0132482e-08), 'fear': np.float32(0.13904902), 'happy': np.float32(0.18085371), 'sad': np.float32(0.52860355), 'surprise': np.float32(0.0013768153), 'neutral': np.float32(99.1255)}"
17,18,neutral,"{'angry': np.float32(0.41900942), 'disgust': np.float32(2.8982113e-06), 'fear': np.float32(0.88517326), 'happy': np.float32(0.51410997), 'sad': np.float32(0.69289273), 'surprise': np.float32(0.027755965), 'neutral': np.float32(97.461044)}"
18,19,neutral,"{'angry': np.float32(0.22511174), 'disgust': np.float32(5.5297454e-07), 'fear': np.float32(0.7743965), 'happy': np.float32(0.45708174), 'sad': np.float32(1.4068265), 'surprise': np.float32(0.018748859), 'neutral': np.float32(97.117836)}"
19,20,neutral,"{'angry': np.float32(0.23327902), 'disgust': np.float32(2.5517709e-06), 'fear': np.float32(1.7420466), 'happy': np.float32(1.1933792), 'sad': np.float32(2.455518), 'surprise': np.float32(0.05948995), 'neutral': np.float32(94.316284)}"
20,21,neutral,"{'angry': np.float32(1.932802), 'disgust': np.float32(8.043092e-05), 'fear': np.float32(5.232571), 'happy': np.float32(0.36714408), 'sad': np.float32(34.550632), 'surprise': np.float32(0.007031297), 'neutral': np.float32(57.909737)}"
21,22,neutral,"{'angry': np.float32(0.00017236861), 'disgust': np.float32(1.1151141e-11), 'fear': np.float32(0.0063606263), 'happy': np.float32(0.039276175), 'sad': np.float32(0.040337916), 'surprise': np.float32(6.7697238e-06), 'neutral': np.float32(99.91385)}"
22,23,neutral,"{'angry': np.float32(0.24619502), 'disgust': np.float32(3.5536635e-07), 'fear': np.float32(0.9490754), 'happy': np.float32(0.14891988), 'sad': np.float32(0.26319835), 'surprise': np.float32(0.078348875), 'neutral': np.float32(98.31426)}"
23,24,neutral,"{'angry': np.float32(0.03667387), 'disgust': np.float32(3.5425053e-08), 'fear': np.float32(0.35720113), 'happy': np.float32(0.051244985), 'sad': np.float32(1.2489859), 'surprise': np.float32(0.0069181416), 'neutral': np.float32(98.29898)}"
24,25,neutral,"{'angry': np.float32(0.05863383), 'disgust': np.float32(1.8971288e-07), 'fear': np.float32(0.45066977), 'happy': np.float32(0.11836157), 'sad': np.float32(1.898097), 'surprise': np.float32(0.007960855), 'neutral': np.float32(97.46628)}"
25,26,neutral,"{'angry': np.float32(0.017003076), 'disgust': np.float32(6.413714e-09), 'fear': np.float32(0.14327417), 'happy': np.float32(0.036404714), 'sad': np.float32(0.88248736), 'surprise': np.float32(0.006860377), 'neutral': np.float32(98.91397)}"
26,27,fear,"{'angry': np.float32(0.61078316), 'disgust': np.float32(4.1360276e-05), 'fear': np.float32(39.740498), 'happy': np.float32(6.288665), 'sad': np.float32(17.794544), 'surprise': np.float32(0.5456908), 'neutral': np.float32(35.01977)}"
27,28,neutral,"{'angry': np.float32(0.052115746), 'disgust': np.float32(1.761443e-06), 'fear': np.float32(1.8986827), 'happy': np.float32(1.5132872), 'sad': np.float32(2.0638814), 'surprise': np.float32(0.03614071), 'neutral': np.float32(94.43589)}"
28,29,neutral,"{'angry': np.float32(0.017746685), 'disgust': np.float32(2.6571465e-07), 'fear': np.float32(0.9606154), 'happy': np.float32(0.96366405), 'sad': np.float32(0.17467123), 'surprise': np.float32(0.089015834), 'neutral': np.float32(97.79429)}"
29,30,happy,"{'angry': np.float32(1.2674433), 'disgust': np.float32(2.8887146e-07), 'fear': np.float32(0.24503873), 'happy': np.float32(98.4739), 'sad': np.float32(0.00016509304), 'surprise': np.float32(0.013393506), 'neutral': np.float32(6.169389e-05)}"
30,31,happy,"{'angry': np.float32(0.25837982), 'disgust': np.float32(3.6187737e-09), 'fear': np.float32(0.044476993), 'happy': np.float32(99.69608), 'sad': np.float32(5.1250565e-05), 'surprise': np.float32(0.0006940437), 'neutral': np.float32(0.00031397652)}"
31,32,neutral,"{'angry': np.float32(0.13517006), 'disgust': np.float32(1.2191491e-06), 'fear': np.float32(0.81701404), 'happy': np.float32(0.17604649), 'sad': np.float32(2.2584786), 'surprise': np.float32(0.11487497), 'neutral': np.float32(96.49842)}"
32,33,neutral,"{'angry': np.float32(0.14440691), 'disgust': np.float32(9.991132e-06), 'fear': np.float32(1.1248386), 'happy': np.float32(0.6246698), 'sad': np.float32(2.9643219), 'surprise': np.float32(0.0652306), 'neutral': np.float32(95.07653)}"
33,34,neutral,"{'angry': np.float32(1.27884), 'disgust': np.float32(0.00024672045), 'fear': np.float32(13.0459175), 'happy': np.float32(7.4476643), 'sad': np.float32(10.299675), 'surprise': np.float32(0.4642013), 'neutral': np.float32(67.463455)}"
34,35,happy,"{'angry': np.float32(0.045050673), 'disgust': np.float32(4.9992956e-09), 'fear': np.float32(0.019151019), 'happy': np.float32(99.92986), 'sad': np.float32(0.0002279164), 'surprise': np.float32(0.0002468106), 'neutral': np.float32(0.005470035)}"
35,36,happy,"{'angry': np.float32(0.26752812), 'disgust': np.float32(4.7058812e-08), 'fear': np.float32(0.025345227), 'happy': np.float32(99.70189), 'sad': np.float32(0.00028961312), 'surprise': np.float32(0.000956197), 'neutral': np.float32(0.003984998)}"
